Station,Nisken.no,HPLCSet.no,VialName,Extraction.Date,Vol.Filtered.L,Chl.c3.Amount,Chl.ide.Amount,MgDVP.Amount,Chl.c2.Amount,Chl.c1.Amount,Peridinin.Amount,19.but.Amount,Fuco.Amount,19.Hex.like.keto.Amount,Neo.Amount,Prasino.Amount,Viola.Amount,19.Hex.Amount,DD.Amount,cis.fuco.Amount,Allo.Amount,Diato.Amount,Monad.Amount,Zeax.Amount,Lutein.Amount,8.Apo.Amount,Croco.Amount,Chl.b.Amount,Chl.C2.like.MGDG.Amount,Chl.a.like 1.Amount,DVChlaAmount,ChlAmount,Ph.tin.Amount,a.Car.Amount,b.Car.Amount
101,1,2,13,42200,2.7,61.544,71.838,20.699,95.263,17.36,3.316,0,268.617,0,0,16.42,3.716,32.899,47.635,34.688,2.456,6.121,3.331,45.42,2.941,3.504,3.189,16.353,6.593,17.587,6.936,545.754,0,9.088,22.335
101,2,2,12,42200,2.12,86.692,110.57,27.65,117.804,21.928,5.422,0,333.396,0,4.817,0,5.096,40.656,74.937,42.984,0,9.049,7.638,73.965,3.919,6.691,2.992,20.809,5.116,19.089,8.697,782.22,0,9.57,0
101,3,2,11,42200,2.12,51.261,163.893,25.069,131.134,27.436,4.762,0,368.182,0,6.711,7.175,9.038,39.859,110.224,63.217,5.474,15.562,9.886,99.824,7.568,7.894,4.979,38.176,7.826,19.596,10.429,919.935,0,12.989,43.536
101,4,2,14,42200,2.81,67.994,53.883,20.733,90.423,18.37,5.427,0,243.914,0,4.941,15.139,6.294,26.752,101.672,30.61,5.701,15.362,7.477,62.194,4.243,5.124,0,0,4.099,11.281,6.874,721.203,0,7.156,0
101,5,2,10,42200,2.86,109.183,0,0,113.504,26.385,3.641,2.765,355.495,0,5.506,0,0,34.618,112.365,42.943,0,25.514,4.642,79.567,4.335,6.141,0,39.011,0,20.654,9.601,944.858,0,9.812,36.254
102,1,2,18,42200,2.83,93.872,41.658,16.599,97.878,14.04,2.216,8.583,225.58,0,4.723,7.133,5.123,87.895,30.617,23.884,3.127,7.204,0,68.411,3.386,6.791,2.526,40.274,14.017,37.36,19.26,711.786,16.123,8.909,20.813
102,2,2,19,42200,3.12,98.945,64.194,14.666,111.468,13.723,2.311,9.976,247.915,0,4.493,7.224,5.393,93.131,34.667,25.563,3.037,6.19,0,74.098,3.095,6.617,0,39.908,14.01,40.679,19.064,717.717,17.449,8.586,23.281
102,3,2,20,42200,2.805,81.705,66.78,17.341,103.942,15.177,2.931,10.224,229.797,0,4.816,6.878,5.968,86.751,50.286,22.996,3.937,10.089,0,92.048,4.045,7.215,0,34.868,13.016,37.485,18.551,696.218,18.458,8.475,24.723
102,4,2,15,42200,3.44,44.603,63.448,13.54,52.754,13.023,2.673,7.529,136.874,0,2.081,5.077,5.218,54.65,50.099,14.792,0,0,0,93.671,2.946,6.046,0,23.338,7.015,12.354,12.362,466.891,12.065,6.077,19.544
102,5,2,21,42200,3.65,22.35,51.804,11.462,39.507,10.317,1.892,5.541,96.088,0,2.648,3.993,4.361,40.857,43.099,15.066,1.879,9.751,2.668,89.658,2.362,5.003,1.984,18.695,5.14,7.974,9.697,354.53,11.896,5.515,15.836
102,6,2,16,42200,3.36,0,0,0,0,0,0,1.575,39.088,0,0,0,0,56.525,47.276,5.07,1.22,9.139,0,96.491,0,6.996,2.044,18.027,5.409,9.518,8.769,354.925,12.237,5.717,16.47
102,7,2,17,42200,2.76,42.763,43.111,10.091,45.61,13.449,2.873,3.437,122.032,0,3.463,4.019,5.183,49.298,62.519,9.552,1.496,11.281,0,99.417,0,6.976,2.403,17.222,5.803,8.403,9.952,430.781,14.417,9.391,21.776
103,1,5,10,42207,4.22,22.537,10.595,9.322,21.335,3.258,1.618,7.713,33.778,0,2.293,3.671,2.307,29.765,9.375,0.003,0,0,0,62.777,0,4.321,1.804,21.309,3.813,2.493,35.412,246.949,23.537,6.266,4.456
103,2,5,11,42207,4.27,25.34,11.653,9.876,22.682,0,1.687,8.247,33.269,0,2.249,3.662,2.366,30.131,9.818,2.567,0,0,0,80.821,0,4.808,1.656,24.341,3.894,4.868,40.704,312.849,29.034,7.411,4.912
103,3,5,12,42207,3.71,19.968,13.277,10.382,21.44,3.374,1.518,7.272,32.338,0,2.339,5.237,2.561,31.347,10.522,0,0,0,0,60.176,0,5.11,0,22.384,3.365,2.126,35.182,216.185,20.628,6.201,4.481
103,4,5,13,42207,4.3,18.653,15.612,7.264,19.232,3.412,1.507,6.157,28.579,0,1.939,4.239,2.24,27.862,9.121,0,0,0,0,48.414,0,4.67,1.498,17.939,3.448,2.874,22.576,187.796,16.248,4.562,3.589
