Station,Nisken.no,Depth.m,Bot.Depth.m,Lat.degN,Long.degE,DMS.nmol.L-1,DMSPd.nmolL-1,DMSPp.nmol. L-1
101,2,8,10.4,31.419000,-81.119000,1.842,0.796,18.948
101,3,6,10.4,31.419000,-81.119000,1.833,0.745,24.066
101,4,5,10.4,31.419000,-81.119000,1.799,0.615,13.758
101,5,2,10.4,31.419000,-81.119000,1.779,0.569,10.474
102,1,18.5,18.4,31.4043,-80.867850,1.642,2.156,3.854
102,2,15,18.4,31.4043,-80.867850,1.629,2.186,8.622
102,3,12,18.4,31.4043,-80.867850,1.628,1.198,4.876
102,4,9,18.4,31.4043,-80.867850,1.653,1.861,2.095
102,5,7,18.4,31.4043,-80.867850,1.651,1.581,4.989
102,6,5,18.4,31.4043,-80.867850,1.636,1.105,5.571
102,7,2,18.4,31.4043,-80.867850,1.626,0.872,7.863
103,1,23.5,24.7,31.3802,-80.614850,1.319,0.497,3.609
103,2,19,24.7,31.3802,-80.614850,1.319,0.785,2.114
103,3,15,24.7,31.3802,-80.614850,1.318,0.601,2.845
103,4,12,24.7,31.3802,-80.614850,1.318,0.515,3.101
103,5,9,24.7,31.3802,-80.614850,1.317,0.493,4.667
103,6,5,24.7,31.3802,-80.614850,1.316,0.614,1.511
103,7,2,24.7,31.3802,-80.614850,1.316,0.672,1.761
105,1,42,43.5,31.339183,-80.112250,1.379,0.511,7.252
105,2,36,43.5,31.339183,-80.112250,1.375,0.686,6.348
105,3,29,43.5,31.339183,-80.112250,1.375,0.629,11.47
105,4,22,43.5,31.339183,-80.112250,1.374,0.442,4.334
105,5,12,43.5,31.339183,-80.112250,1.384,0.691,4.917
105,6,5,43.5,31.339183,-80.112250,1.389,0.937,6.039
105,7,2,43.5,31.339183,-80.112250,1.381,1.535,2.462
106,1,48,49.8,31.321467,-79.858600,1.309,1.419,12.463
106,2,38,49.8,31.321467,-79.858600,1.31,2.332,8.426
106,3,30,49.8,31.321467,-79.858600,1.311,1.3,11.39
106,4,22,49.8,31.321467,-79.858600,1.311,1.622,14.518
106,5,12,49.8,31.321467,-79.858600,1.311,3.101,16.982
106,6,5,49.8,31.321467,-79.858600,1.311,4.56,6.485
106,7,2,49.8,31.321467,-79.858600,1.314,4.055,10.644
107A,3,85,427,31.3044,-79.608650,1.299,0.511,0.746
107A,4,65,427,31.3044,-79.608650,1.309,0.56,4.182
108,1,200,488,31.276883,-79.363433,0.31,0.32,0.249
108,2,100,488,31.276883,-79.363433,0.311,1.105,0.258
108,3,80,488,31.276883,-79.363433,0.311,0.937,2.175
108,4,60,488,31.276883,-79.363433,0.318,1.366,10.54
108,5,40,488,31.276883,-79.363433,0.318,NA,NA
108,6,20,488,31.276883,-79.363433,0.388,1.807,3.685
108,7,5,488,31.276883,-79.363433,0.386,1.438,10.261
110,1,200,597,31.237233,-78.858467,0.311,0.588,0.228
110,2,110,597,31.237233,-78.858467,0.312,1.562,3.771
110,3,80,597,31.237233,-78.858467,0.314,2.755,7.111
110,4,60,597,31.237233,-78.858467,0.447,1.535,8.919
110,5,40,597,31.237233,-78.858467,0.47,1.655,3.962
110,6,20,597,31.237233,-78.858467,0.397,1.037,7.007
110,7,5,597,31.237233,-78.858467,0.369,1.023,2.149
111,1,200,700,31.19615,-78.353417,0.301,NA,NA
111,2,130,700,31.19615,-78.353417,0.303,NA,NA
111,3,80,700,31.19615,-78.353417,0.347,NA,NA
111,4,60,700,31.19615,-78.353417,0.322,NA,NA
111,5,40,700,31.19615,-78.353417,0.428,NA,NA
111,6,20,700,31.19615,-78.353417,0.398,NA,NA
111,7,5,700,31.19615,-78.353417,0.366,NA,NA
112,1,200,3400,31.034067,-76.348533,0.303,0.433,0.034
112,2,132,3400,31.034067,-76.348533,0.302,0.454,0.866
112,3,80,3400,31.034067,-76.348533,0.304,0.927,3.88
112,4,60,3400,31.034067,-76.348533,0.311,1.048,7.645
112,5,40,3400,31.034067,-76.348533,0.391,1.174,4.455
112,6,20,3400,31.034067,-76.348533,0.492,1.489,5.164
112,7,5,3400,31.034067,-76.348533,0.451,2.483,0.619
113,1,200,2865,31.051683,-76.605117,0.302,0.421,0.604
113,2,115,2865,31.051683,-76.605117,0.307,1.709,4.855
113,3,85,2865,31.051683,-76.605117,0.399,1.24,0.147
113,4,60,2865,31.051683,-76.605117,0.498,1.025,0.859
113,5,40,2865,31.051683,-76.605117,0.445,0.647,1.083
113,6,20,2865,31.051683,-76.605117,0.367,0.532,0.522
113,7,5,2865,31.051683,-76.605117,0.316,0.653,0.481
114,1,200,2700,31.071517,-76.848483,0.299,0.367,0.234
114,2,110,2700,31.071517,-76.848483,0.321,0.785,1.086
114,3,80,2700,31.071517,-76.848483,0.309,0.591,1.821
114,4,60,2700,31.071517,-76.848483,0.314,0.78,1.323
114,5,40,2700,31.071517,-76.848483,0.312,0.833,0.099
114,6,20,2700,31.071517,-76.848483,0.316,0.45,1.072
114,7,5,2700,31.071517,-76.848483,0.314,2.263,0.29
116,1,200,1140,31.12025,-77.344783,0.305,0.391,0.118
116,2,110,1140,31.12025,-77.344783,0.311,0.725,1.923
116,3,80,1140,31.12025,-77.344783,0.31,0.596,2.946
116,4,60,1140,31.12025,-77.344783,0.32,0.716,3.351
116,5,40,1140,31.12025,-77.344783,0.4,0.662,3.465
116,6,20,1140,31.12025,-77.344783,0.408,0.573,2.661
116,7,5,1140,31.12025,-77.344783,0.394,0.52,5.437
118,1,200,900,31.161333,-77.852883,0.299,0.467,0.635
118,2,140,900,31.161333,-77.852883,0.304,1.39,0.453
118,3,90,900,31.161333,-77.852883,0.309,2.73,NA
118,4,60,900,31.161333,-77.852883,0.315,1.116,1.844
118,5,40,900,31.161333,-77.852883,0.315,0.511,3.346
118,6,20,900,31.161333,-77.852883,0.322,0.454,3.941
118,7,5,900,31.161333,-77.852883,0.316,0.943,4.199
121A,3,52,152,31.309067,-79.740117,1.303,0.601,0.31
121A,4,40,152,31.309067,-79.740117,1.305,0.615,1.348
