Nisken.no ,Station ,Latitude,Longitude,Bot. Depth.m,Depth,StrainGaugePressure,Conductivity,Salinity,Temperature,PotentialTemp.,Density,Sigmatheta,Oxygen,Oxygen,PAR.Irradiance,ISUS,Nitrate
,101,31.419,81.119,10.4,2,2.921,56.663427,34.4484,29.1661,29.1657,1021.603,21.5946,4.6082,103.888,1.68E+03,-3.6619988,0.291299234
,101,31.419,81.119,10.4,3,4.381,56.394288,34.3975,28.9798,28.9791,1021.6311,21.6184,4.6485,104.452,1.32E+03,-3.9161894,0.284080221
,101,31.419,81.119,10.4,4,5.842,55.781948,34.4291,28.3515,28.3505,1021.8675,21.8506,4.6622,103.712,1.13E+03,-3.7791744,0.287971447
,101,31.419,81.119,10.4,5,7.303,55.780572,34.4947,28.2598,28.2586,1021.9512,21.9301,4.6743,103.864,8.77E+02,-4.0163378,0.281236006
,101,31.419,81.119,10.4,6,8.763,55.777426,34.5409,28.1931,28.1916,1022.0122,21.9867,4.6836,103.985,7.16E+02,-4.0743496,0.279588471
,101,31.419,81.119,10.4,7,10.221,55.757739,34.5784,28.1227,28.1209,1022.0678,22.0382,4.6524,103.195,6.06E+02,-4.6290179,0.263835892
,101,31.419,81.119,10.4,8,11.684,55.75996,34.6124,28.078,28.0761,1022.1122,22.0783,4.6682,103.489,4.73E+02,-4.0736324,0.27960884
,101,31.419,81.119,10.4,9,13.148,55.761645,34.6553,28.0208,28.0186,1022.1675,22.1294,4.6784,103.643,3.84E+02,-3.9369569,0.283490424
,101,31.419,81.119,10.4,10,14.599,55.771846,34.666,28.0157,28.0133,1022.1815,22.1391,4.6748,103.562,3.08E+02,-4.2965858,0.273276963
,101,31.426,-81.115,9.6,2,2.923,57.006549,34.3171,29.6767,29.676,1021.3333,21.3248,4.6193,104.921,1.60E+03,-2.9899213,0.310386235
,101,31.426,-81.115,9.6,3,4.381,56.453173,34.3093,29.159,29.1587,1021.5047,21.492,4.6413,104.543,1.29E+03,-3.4746782,0.296619139
,101,31.426,-81.115,9.6,4,5.844,55.962614,34.4297,28.5233,28.5223,1021.8114,21.7945,4.7,104.847,9.75E+02,-3.7440203,0.288969823
,101,31.426,-81.115,9.6,5,7.302,55.792605,34.423,28.3698,28.3685,1021.8613,21.8401,4.6847,104.241,8.17E+02,-2.1521018,0.334180309
,101,31.426,-81.115,9.6,6,8.763,55.752849,34.4378,28.311,28.3095,1021.896,21.8706,4.6833,104.118,6.23E+02,-3.0316445,0.309201296
,101,31.426,-81.115,9.6,7,10.224,55.756987,34.5105,28.2148,28.2131,1021.9865,21.9569,4.6827,103.985,5.02E+02,-2.892626,0.313149422
,101,31.426,-81.115,9.6,8,11.684,55.76486,34.549,28.1692,28.1673,1022.0347,22.0008,4.6962,104.229,3.83E+02,-3.3877901,0.299086761
7,102,31.412,-80.871,19.5,2,2.922,57.030001,35.0477,28.6901,28.6896,1022.2117,22.2033,4.6484,104.337,1.53E+02,-3.1251047,0.306547027
,102,31.412,-80.871,19.5,3,4.381,57.008101,35.0454,28.6721,28.6714,1022.2203,22.2076,4.636,104.026,2.34E+02,-2.8127397,0.315418193
,102,31.412,-80.871,19.5,4,5.844,56.982073,35.0454,28.6473,28.6464,1022.2328,22.2159,4.6435,104.153,2.81E+02,-3.2659515,0.302546977
6,102,31.412,-80.871,19.5,5,7.302,57.022524,35.0508,28.6778,28.6765,1022.2314,22.2103,4.6371,104.065,1.62E+02,-3.0687968,0.308146171
,102,31.412,-80.871,19.5,6,8.764,56.293728,35.0518,27.9901,27.9887,1022.4626,22.4371,4.7027,104.362,1.46E+02,-2.6247576,0.320756884
5,102,31.412,-80.871,19.5,7,10.222,56.173461,35.0789,27.84,27.8383,1022.5364,22.5067,4.7314,104.756,1.18E+02,-3.295322,0.301712855
,102,31.412,-80.871,19.5,8,11.686,56.076624,35.0705,27.7595,27.7576,1022.5606,22.5267,4.7136,104.22,1.18E+02,-2.4956715,0.324422929
4,102,31.412,-80.871,19.5,9,13.145,56.06722,35.0711,27.7494,27.7473,1022.5687,22.5305,4.7264,104.484,1.00E+02,-3.0240856,0.309415969
,102,31.412,-80.871,19.5,10,14.605,55.99976,35.0705,27.6861,27.6841,1022.5929,22.5505,4.7226,104.293,1.02E+02,-2.7387262,0.317520176
,102,31.412,-80.871,19.5,11,16.066,55.891929,35.1306,27.5042,27.5011,1022.7017,22.655,4.7117,103.775,9.54E+01,-3.1074635,0.307048037
3,102,31.412,-80.871,19.5,12,17.527,55.834225,35.165,27.4035,27.4007,1022.7643,22.7134,4.7424,104.299,9.65E+01,-2.9323186,0.312022152
,102,31.412,-80.871,19.5,13,18.987,55.798191,35.1767,27.3535,27.3505,1022.7936,22.7384,4.7554,104.506,9.75E+01,-3.2087496,0.304171511
,102,31.412,-80.871,19.5,14,20.445,55.781593,35.1855,27.3258,27.3225,1022.8135,22.7541,4.722,103.73,9.73E+01,-2.6988425,0.318652873
2,102,31.412,-80.871,19.5,15,21.908,55.772571,35.1916,27.3088,27.3053,1022.8279,22.7642,4.7518,104.358,8.88E+01,-3.1749575,0.305131207
,102,31.412,-80.871,19.5,16,23.369,55.767449,35.1942,27.3002,27.2965,1022.8369,22.769,4.7646,104.627,8.24E+01,-2.9208835,0.312346909
,102,31.412,-80.871,19.5,17,24.837,55.758169,35.1974,27.2868,27.2828,1022.8479,22.7758,4.759,104.481,7.76E+01,-3.115669,0.306815
1,102,31.412,-80.871,19.5,18,26.288,55.765349,35.2034,27.2851,27.2809,1022.8573,22.7809,4.7826,105.001,7.77E+01,-3.5085231,0.295657944
,102,31.412,-80.871,19.5,2,2.921,56.977682,35.0317,28.6626,28.6621,1022.2088,22.2004,4.6411,104.116,1.37E+02,-3.7191837,0.289675183
,102,31.412,-80.871,19.5,3,4.385,56.969711,35.0309,28.6557,28.655,1022.2149,22.2022,4.6629,104.593,1.22E+02,-3.6829857,0.290703206
,102,31.412,-80.871,19.5,4,5.851,56.96975,35.0344,28.6503,28.6497,1022.2235,22.2066,4.6434,104.15,1.04E+02,-3.8301251,0.286524447
,102,31.412,-80.871,19.5,5,7.304,56.685513,35.0268,28.393,28.3919,1022.307,22.2858,4.6803,104.532,9.39E+01,-3.7695434,0.288244967
,102,31.412,-80.871,19.5,6,8.771,56.153842,35.0589,27.8492,27.847,1022.5143,22.4888,4.71,104.285,8.69E+01,-3.4565587,0.297133733
,102,31.412,-80.871,19.5,7,10.224,56.112999,35.0632,27.8039,27.8023,1022.5364,22.5067,4.7319,104.696,8.25E+01,-4.3355311,0.272170917
,102,31.412,-80.871,19.5,8,11.696,56.086408,35.0725,27.766,27.7642,1022.56,22.5261,4.7397,104.81,7.86E+01,-4.2350919,0.27502339
,102,31.412,-80.871,19.5,9,13.145,55.997058,35.0581,27.7006,27.6986,1022.5747,22.5366,4.7562,105.052,7.58E+01,-3.3554497,0.300005229
,102,31.412,-80.871,19.5,10,14.606,55.862372,35.117,27.4947,27.4923,1022.69,22.6476,4.761,104.836,7.56E+01,-4.4427363,0.269126289
,102,31.412,-80.871,19.5,11,16.069,55.800894,35.1541,27.3867,27.3842,1022.7572,22.7106,4.7759,104.999,7.88E+01,-3.277743,0.302212099
,102,31.412,-80.871,19.5,12,17.527,55.785936,35.1657,27.357,27.3542,1022.7798,22.7289,4.7667,104.753,7.28E+01,-4.0947992,0.279007703
,102,31.412,-80.871,19.5,13,18.984,55.770952,35.1732,27.3326,27.3295,1022.7977,22.7425,4.7569,104.5,6.85E+01,-3.1751952,0.305124456
,102,31.412,-80.871,19.5,14,20.46,55.764286,35.1796,27.3174,27.3141,1022.8117,22.7523,4.7635,104.622,6.78E+01,-4.5161079,0.267042536
,102,31.412,-80.871,19.5,15,21.908,55.757972,35.1832,27.3062,27.3027,1022.8224,22.7587,4.774,104.837,6.27E+01,-3.8357752,0.286363984
,102,31.412,-80.871,19.5,16,23.369,55.750254,35.1912,27.2879,27.2841,1022.8386,22.7707,4.7795,104.932,6.23E+01,-4.6136355,0.264272752
,102,31.412,-80.871,19.5,17,24.83,55.747039,35.1942,27.2805,27.2765,1022.8476,22.7754,4.7564,104.412,6.06E+01,-4.9476013,0.254788123
,102,31.412,-80.871,19.5,18,26.29,55.746104,35.2015,27.2695,27.2653,1022.8609,22.7845,4.7729,104.76,5.51E+01,-4.2436708,0.274779749
,102,31.404,-80.869,19.9,2,2.921,56.935552,35.015,28.6456,28.6451,1022.202,22.1935,4.6447,104.159,9.05E+01,-3.0815381,0.307784318
,102,31.404,-80.869,19.9,3,4.381,56.930254,35.015,28.6402,28.6395,1022.208,22.1953,4.6453,104.163,7.55E+01,-2.9091119,0.312681222
,102,31.404,-80.869,19.9,4,5.842,56.928797,35.0146,28.639,28.638,1022.2125,22.1956,4.6408,104.06,6.51E+01,-4.2629119,0.274233302
,102,31.404,-80.869,19.9,5,7.303,56.887281,35.0164,28.5971,28.5959,1022.232,22.2108,4.6528,104.26,5.63E+01,-2.5610823,0.322565263
