Station,Nisken.no ,Absorbance,Adjust,ISUS
106A,1,0.374,0.4294,0.63004
107,1,0.362,0.4174,0.80708
107A,1,0.749,0.8044,1.21978
107A,2,0.743,0.7984,1.15995
107A,3,0.235,0.2904,0.55678
107A,4,0.147,0.2024,0.44933
108A,1,0.394,0.4494,0.84615
108A,2,0.289,0.3444,0.67643
110,6,0.067,0.1224,0.189865
111,3,0.066,0.1214,0.257535
111,6,0.063,0.1184,0.224055
113,4,0.056,0.1114,0.406595
114,1,0.096,0.1514,0.393775
114,4,0.054,0.1094,0.270455
116,2,0.065,0.1204,0.26664
118,1,0.075,0.1304,0.356535
118,3,0.068,0.1234,0.285105
118,4,0.061,0.1164,0.299725
121,1,0.449,0.5044,1.12452
121,2,0.547,0.6024,1.02413
121A,1,0.381,0.4364,1.06592
121A,2,0.498,0.5534,0.85348
121A,3,0.205,0.2604,0.6337
121A,4,0.132,0.1874,0.44567
122,1,0.352,0.4074,1.23321
122,2,0.482,0.5374,1.03033
124,1,0.547,0.6024,1.32479
124,2,0.599,0.6544,1.10989
125,1,0.323,0.3784,0.90965
125,2,0.313,0.3684,0.80708
